unidade;ano;mes;case_mix;case_mix_clinico;case_mix_cirurgico
MOV;2024;5;0,9649;1,2393;0,6628
MOV;2024;6;0,8681;1,0484;0,6745
MOV;2024;7;0,7752;0,8827999999999999;0,6473
MOV;2024;8;0,8247;0,9978;0,6379
MOV;2024;9;0,9156;1,1206;0,6931
MOV;2024;10;0,997;1,1877;0,7613
MOV;2024;11;1,0421;1,2795;0,7494
MOV;2024;12;1,0545;1,1817;0,8974999999999999
MOV;2025;1;0,9295;1,1057;0,6994
MOV;2025;2;0,9509;1,1879;0,6534
MOV;2025;3;0,9244;1,16;0,6560000000000001
MOV;2025;4;0,8573;1,0241;0,6655
MOV;2025;5;0,911;1,162;0,6358
MOV;2025;6;0,8913999999999999;1,0966;0,6681
MOV;2025;7;0,9216;1,1273;0,6995
MOV;2025;8;0,9771999999999998;1,0474;0,8921
MOV;2025;9;0,9102;1,094;0,6749
MOV;2025;10;0,8966;1,0667;0,6736
MOV;2025;11;0,8367000000000001;0,9622000000000002;0,6884
MOV;2025;12;0,9581;1,1824;0,6492
